school,name,tag
Kentucky,Wildcats,cat
Hampton,Pirates,human
Manhattan,Jaspers,other
Cincinnati,Bearcats,other
Purdue,Boilermakers,human
West Virginia,Mountaineers,human
Buffalo,Bulls,horned
Maryland,Terrapins,reptile
Valparaiso,Crusaders,human
Butler,Bulldogs,dog
Texas,Longhorns,horned
Notre Dame,Fighting Irish,human
Northeastern,Huskies,dog
Wichita State,Shockers,???
Indiana,Hoosiers,other
Kansas,Jayhawks,bird
New Mexico State,Aggies,human
Wisconsin,Badgers,other
Coastal Carolina,Chanticleers,bird
Oregon,Ducks,bird
Oklahoma St.,Cowboys,evil
Arkansas,Razorbacks,horned
Wofford,Terriers,dog
North Carolina,Tarheels,horned
Harvard,Crimson,human
Xavier,Musketeers,???
BYU,Cougars,cat
Ole Miss,Rebels,bear
Baylor,Bears,bear
Georgia State,Panthers,cat
VCU,Rams,horned
Ohio State,Buckeyes,???
Arizona,Wildcats,cat
Texas Southern,Tigers,cat
Villanova,Wildcats,cat
Lafayette,Leopards,cat
NC State,Wolfpack,dog
LSU,Tigers,cat
Northern Iowa,Panthers,cat
Wyoming,Cowboys,human
Louisville,Cardinals,bird
UC Irvine,Anteaters,other
Providence,Friar Boys,evil
Boise State,Broncos,horse
Dayton,Flyers,human
Oklahoma,Sooners,horse
Albany,Great Danes,dog
Michigan State,Spartans,human
Georgia,Bulldogs,dog
Virginia,Cavaliers,human
Belmont,Bruins,bear
Duke,Blue Devils,evil
North Florida,Ospreys,bird
Robert Morris,Colonials,human
San Diego State,Aztecs,human
St. John's,Red Storm,bird
Utah,Runnin' Utes,bird
Steven F. Austin,Lumberjacks,human
Georgetown,Hoyas,dog
Eastern Washington,Eagles,bird
SMU,Mustangs,horse
UCLA,Bruins,bear
Iowa State,Cyclones,bird
UAB,Blazers,reptile
Iowa,Hawkeyes,bird
Davidson,Wildcats,cat
Gonzaga,Bulldogs,dog
North Dakota State,Bison,horned
