school,name
Akron,Zips
Alabama State,Hornets
Arizona,Wildcats
Arkansas Little Rock,Trojans
Belmont,Bruins
Boston University,Terriers
Bucknell,Bison
Butler,Bulldogs
Byu,Cougars
Cincinnati,Bearcats
Clemson,Tigers
Connecticut,Huskies
Duke,Blue Devils
Florida,Gators
Florida State,Seminoles
George Mason,Patriots
Georgetown,Hoyas
Georgia,Bulldogs
Gonzaga,Bulldogs
Hampton,Pirates
Illinois,Fighting Illini
Indiana State,Sycamores
Kansas,Jayhawks
Kansas State,Wildcats
Kentucky,Wildcats
Long Island,Blackbirds
Louisville,Cardinals
Marquette,Golden Eagles
Memphis,Tigers
Michigan,Wolverines
Michigan State,Spartans
Missouri,Tigers
Morehead State,Eagles
North Carolina,Tarheels
Northern Colorado,Bears
Notre Dame,Fighting Irish
Oakland,Golden Grizzlies
Ohio State,Buckeyes
Old Dominion,Monarchs
Penn State,Nittany Lions
Pittsburgh,Panthers
Princeton,Tigers
Purdue,Boilermakers
Richmond,Spiders
Saint Peter's,Peacocks
San Diego State,Aztecs
St. John's,Red Storm
Syracuse,Orangemen
Temple,Owls
Tennessee,Volunteers
Texas,Longhorns
Texas A&m,Aggies
UAB,Blazers
Uc Santa Barbara,Gauchos
Ucla,Bruins
UNC Asheville,Bulldogs
UNLV,Runnin Rebels
Usc,Trojans
Utah State,Aggies
UTSA,Roadrunners
Vanderbilt,Commodors
Vcu,Rams
Villanova,Wildcats
Washington,Huskies
West Virginia,Mountaineers
Wisconsin,Badgers
Wofford,Terriers
Xavier,Musketeers
